Sample No.,Core No.,Depth,Dry Mass,Len.,Dia.,P. Vol.,G. Vol.,B. Vol.,Ø,G. D.,P. Vol.,Ø(He),K¥,Kair,Remarks
1,1,14440.4,193.399,7.47,3.683,6.325,73.2572,79.582,7.948,2.64,6.310675,7.93,0.282772,0.422665,
2,1,14441.3,184.461,7.144,3.705,7.255,69.7659,77.021,9.42,2.644,7.234298,9.39,0.823768,1.116785,
3,1,14442.6,178.559,6.864,3.71,6.617,67.5848,74.202,8.918,2.642,6.612341,8.91,0.363874,0.556828,
4,1,14443.3,171.361,6.709,3.712,7.965,64.6401,72.605,10.97,2.651,7.538019,10.45,0.791524,1.137058,
5,1,14444.3,187.153,6.931,3.783,7.093,70.8108,77.904,9.105,2.643,7.069951,9.08,0.171319,0.267661,
6,1,14445.9,178.078,6.62,3.785,7.237,67.25,74.487,9.716,2.648,7.22245,9.7,0.775566,1.094505,
7,1,14447.6,193.351,6.953,3.73,3.042,72.9351,75.977,4.004,2.651,3.003169,3.95,0.041049,0.062035,
8,1,14448.4,198.342,6.77,3.788,1.222,75.0727,76.295,1.602,2.642,, , ,Perm <0.01
9,1,14449.8,197.591,6.872,3.802,3.371,74.6471,78.018,4.321,2.647,3.312985,4.25,0.01834,0.048352,
10,1,14450.6,201.186,7.343,3.727,4.19,75.9192,80.109,5.23,2.65,4.113702,5.14,0.027541,0.066766,
11,1,14451.3,199.544,7.01,3.794,4.037,75.2145,79.251,5.094,2.653,3.979243,5.02,0.043446,0.096035,
12,1,14452.6,195.888,6.864,3.799,3.717,74.0877,77.805,4.777,2.644,3.674517,4.73,0.127237,0.224272,
13,1,14453.7,199.59,7.352,3.732,4.964,75.4594,80.423,6.172,2.645,4.928105,6.13,0.060367,0.088908,
14,1,14454.4,201.788,7.147,3.798,4.651,76.3192,80.97,5.744,2.644,4.626266,5.71,0.127646,0.184551,
15,1,14455.8,191.698,6.795,3.795,4.494,72.3662,76.86,5.847,2.649,4.46051,5.81,0.096202,0.15436,
16,1,14456.5,197.971,7.074,3.741,2.908,74.8473,77.755,3.74,2.645,2.85561,3.67,0.027342,0.065349,
17,1,14457.4,187.614,6.886,3.719,3.843,70.9584,74.801,5.138,2.644,3.790537,5.07,0.076905,0.124262,
18,1,14458.2,183.502,7.007,3.713,6.65,69.2199,75.87,8.765,2.651,6.384156,8.44,0.324923,0.459358,
19,1,14459.7,190.962,6.803,3.795,4.808,72.1428,76.951,6.248,2.647,4.744218,6.17,0.239075,0.307791,
20,1,14460.8,156.302,6.039,3.705,6.148,58.9596,65.108,9.443,2.651,6.116078,9.4,0.54444,0.756251,
21,1,14461.2,195.622,6.957,3.797,4.789,73.9871,78.776,6.079,2.644,4.731769,6.01,0.128618,0.200217,
22,1,14462.8,185.973,6.899,3.728,5.021,70.2846,75.306,6.667,2.646,4.965689,6.6,0.202761,0.289698,
23,1,14463.7,169.16,6.175,3.793,5.964,63.8099,69.774,8.548,2.651,5.880387,8.44,0.219799,0.288266,
24,1,14464.4,185.758,7.094,3.713,6.847,69.9653,76.812,8.914,2.655,6.80824,8.87,0.134993,0.178399,
25,1,14465.5,194.522,6.959,3.804,5.878,73.2111,79.089,7.432,2.657,5.801379,7.34,0.063251,0.088922,
26,1,14466.7,204.401,7.056,3.804,3.609,76.5834,80.192,4.5,2.669,3.59341,4.48,0.021564,0.055055,
27,1,14467.3,206.285,7.041,3.804,3.25,76.7715,80.021,4.061,2.687,3.186355,3.99,0.03937,0.089307,
28,1,14468.3,195.439,,,,, , , , , , , , 
